[2018-01-03 10:15:48.436][DBG][Main:5260:159] destory  model:WHITE_BOARD
[2018-01-03 10:15:48.436][DBG][Main:5260:160] destory  model:FILE_SVRCOVER
[2018-01-03 10:15:48.436][DBG][Main:5260:161] destory  model:FILE_TRANSFER
[2018-01-03 10:15:48.436][DBG][FileTranCom:5260:162] destory
[2018-01-03 10:15:48.436][DBG][FileTranUser:5260:163] destory
[2018-01-03 10:15:48.436][DBG][FileTranConf:5260:164] destory
[2018-01-03 10:15:48.436][DBG][Main:5260:165] destory  model:FILE_TRANS_NOTIFY
[2018-01-03 10:15:48.436][DBG][Main:5260:166] destory  model:MEDIA
[2018-01-03 10:15:48.436][DBG][Main:5260:167] destory  model:AUDIO
[2018-01-03 10:15:48.436][INF][MS:5260:168] MSCSetAudioCallback in
[2018-01-03 10:15:48.436][INF][MS:5260:169] pHandler?null: no
[2018-01-03 10:15:48.436][INF][MS:5260:170] MSCSetAudioCallback out
[2018-01-03 10:15:48.436][DBG][Main:5260:171] destory  model:VIDEO
[2018-01-03 10:15:48.436][DBG][Main:5260:172] destory  model:BRIDGE
[2018-01-03 10:15:48.436][DBG][Main:5260:173] destory  model:SYNC
[2018-01-03 10:15:48.436][DBG][Main:5260:174] destory  model:MSClient
[2018-01-03 10:15:48.436][INF][MS:5260:175] MSCStop in
[2018-01-03 10:15:48.436][INF][MS:5260:176] MSCStop out
[2018-01-03 10:15:48.436][INF][MS:5260:177] MSCClean in
[2018-01-03 10:15:48.546][INF][MS:4508:178] Qos DisConnect.
[2018-01-03 10:15:48.548][INF][MS:5260:179] MSCClean out
[2018-01-03 10:15:48.549][DBG][Main:5260:180] destory  model:INVITE
[2018-01-03 10:15:48.549][DBG][Main:5260:181] destory  model:PSTNCTL
[2018-01-03 10:15:48.549][DBG][Main:5260:182] destory  model:MEMBER
[2018-01-03 10:15:48.549][DBG][Main:5260:183] destory  model:LOGIN
[2018-01-03 10:15:48.549][DBG][Main:5260:184] UnitAllModels end!
[2018-01-03 10:15:48.549][DBG][Audio:5260:185] UninitVoiceEng...
[2018-01-03 10:15:48.549][DBG][Audio:5260:186] AudioPrint level:0x1000, CRVE_DeleteChannel in
[2018-01-03 10:15:48.549][DBG][Audio:5260:187] AudioPrint level:0x1000, CRVE_DeleteChannel out
[2018-01-03 10:15:48.549][DBG][Audio:5260:188] AudioPrint level:0x1000, CRVE_UnInit in
[2018-01-03 10:15:48.549][DBG][Audio:5260:189] AudioPrint level:0x1000, CRVE_UnInit out
[2018-01-03 10:15:48.549][DBG][Audio:5260:190] UninitVoiceEng...finished
[2018-01-03 10:15:48.549][DBG][ICE:5260:191] shutdown communicator for MeetingSDK
[2018-01-03 10:15:48.549][DBG][ICE:5260:192] destroy communicator for MeetingSDK...
[2018-01-03 10:15:48.549][DBG][ICE:5260:193] reset communicator to null...
[2018-01-03 10:15:48.549][DBG][ICE:5260:194] uninit communicator for MeetingSDK...end
[2018-01-03 10:21:52.882][INF][MeetingSDK:8900:0] ---------- SDK running... (pid:6048)----------
[2018-01-03 10:21:52.882][INF][MeetingSDK:8900:1] startLog:C:\Users\admin\Desktop\web\demo\examples\RecordDemo(web)\home\Log\CloudroomVideoSDK.log
[2018-01-03 10:21:52.882][DBG][MeetingSDK:8900:2] CloudroomVideoSD init...(SDKVer:)
[2018-01-03 10:21:52.882][DBG][MeetingSDK:8900:3] sdkParams:{"NoCallSvr":0,"NoMediaDatToSvr":0}
